date,winner,venue,first_team,second_team,first_runs,first_balls,first_overs,second_runs,second_balls,second_overs,net_run_rate
2010-02-01,Ireland,Colombo (PSS),Afghanistan,Ireland,121,120,20,124,109,18.1,
2010-02-03,Afghanistan,Colombo (SSC),Canada,Afghanistan,140,120,20,143,119,19.5,
2010-02-08,Afghanistan,Dubai (DICS),Afghanistan,Ireland,139,120,20,126,117,19.2,
2010-02-10,Afghanistan,Abu Dhabi,Afghanistan,Scotland,131,120,20,117,120,20,
2010-02-12,Netherlands,Dubai (DICS),Afghanistan,Netherlands,128,120,20,132,113,18.5,
2010-02-13,Afghanistan,Dubai (DICS),Ireland,Afghanistan,142,120,20,147,105,17.3,
2010-05-01,India,Gros Islet,Afghanistan,India,115,120,20,116,93,14.5,
2010-05-05,South Africa,Bridgetown,South Africa,Afghanistan,139,120,20,80,98,16,
2012-03-14,Afghanistan,Dubai (DICS),Netherlands,Afghanistan,149,120,20,150,118,19.4,
2012-03-18,Afghanistan,ICCA Dubai,Afghanistan,Canada,174,120,20,133,120,20,
2012-03-24,Ireland,Dubai (DICS),Afghanistan,Ireland,152,120,20,156,113,18.5,
2012-09-19,India,Colombo (RPS),India,Afghanistan,159,120,20,136,118,19.3,
2012-09-21,England,Colombo (RPS),England,Afghanistan,196,120,20,80,104,17.2,
2013-03-03,Afghanistan,Sharjah,Afghanistan,Scotland,132,120,20,105,120,20,
2013-03-04,Afghanistan,Sharjah,Scotland,Afghanistan,139,120,20,140,105,17.3,
2013-09-30,Afghanistan,Sharjah,Afghanistan,Kenya,162,120,20,56,112,18.4,
2013-10-11,Kenya,Sharjah,Kenya,Afghanistan,149,120,20,115,120,20,
2013-11-15,Netherlands,Sharjah,Afghanistan,Netherlands,90,116,19.1,92,77,12.5,
2013-11-16,Afghanistan,Sharjah,Afghanistan,Scotland,171,120,20,154,120,20,
2013-11-24,Afghanistan,Sharjah,Afghanistan,Kenya,148,120,20,114,110,18.2,
2013-11-30,Ireland,Abu Dhabi,Ireland,Afghanistan,225,120,20,157,113,18.5,
2013-12-08,Pakistan,Sharjah,Afghanistan,Pakistan,137,120,20,138,120,19.5,
2014-03-16,Bangladesh,Mirpur,Afghanistan,Bangladesh,72,104,17.1,78,72,12,
2014-03-18,Afghanistan,Chattogram,Hong Kong,Afghanistan,153,120,20,154,109,18,
2014-03-20,Nepal,Chattogram,Nepal,Afghanistan,141,120,20,132,120,20,
2015-07-09,Afghanistan,Edinburgh,Afghanistan,Netherlands,162,120,20,130,122,19.4,
2015-07-10,Afghanistan,Edinburgh,United Arab Emirates,Afghanistan,164,120,20,168,106,17.2,
2015-07-12,Afghanistan,Edinburgh,Afghanistan,Scotland,210,120,20,173,116,19.2,
2015-07-21,Hong Kong,Dublin (Malahide),Afghanistan,Hong Kong,161,120,20,162,120,20,
2015-07-23,Afghanistan,Dublin (Malahide),Papua New Guinea,Afghanistan,127,120,20,128,113,18.2,
