,date,winner,venue,first_team,second_team,first_runs,first_balls,first_overs,second_runs,second_balls,second_overs,net_run_rate,year,venue_country
0,2023-07-13,Texas Super Kings,Grand Prairie Stadium,Texas Super Kings,Los Angeles Knight Riders,181.0,120.0,20.0,112.0,84.0,14.0,3.45,2023,Texas Super Kings
1,2023-07-14,San Francisco Unicorns,Grand Prairie Stadium,San Francisco Unicorns,MI New York,215.0,120.0,20.0,193.0,120.0,20.0,1.1,2023,Texas Super Kings
2,2023-07-14,Seattle Orcas,Grand Prairie Stadium,Washington Freedom,Seattle Orcas,144.0,120.0,20.0,148.0,118.0,19.4,0.42886597938144355,2023,Texas Super Kings
3,2023-07-15,Seattle Orcas,Grand Prairie Stadium,Seattle Orcas,San Francisco Unicorns,177.0,120.0,20.0,142.0,107.0,17.5,1.75,2023,Texas Super Kings
4,2023-07-16,Washington Freedom,Grand Prairie Stadium,Washington Freedom,Texas Super Kings,163.0,120.0,20.0,157.0,120.0,20.0,0.3,2023,Texas Super Kings
5,2023-07-16,MI New York,Grand Prairie Stadium,MI New York,Los Angeles Knight Riders,155.0,120.0,20.0,50.0,83.0,13.5,5.25,2023,Texas Super Kings
6,2023-07-17,Texas Super Kings,Grand Prairie Stadium,Texas Super Kings,MI New York,154.0,120.0,20.0,137.0,120.0,20.0,0.85,2023,Texas Super Kings
7,2023-07-18,San Francisco Unicorns,Grand Prairie Stadium,San Francisco Unicorns,Los Angeles Knight Riders,212.0,120.0,20.0,191.0,120.0,20.0,1.05,2023,Texas Super Kings
8,2023-07-20,Washington Freedom,"Church Street Park, Morrisville",Los Angeles Knight Riders,Washington Freedom,175.0,120.0,20.0,177.0,109.0,18.1,1.0290055248618781,2023,neutral
9,2023-07-21,Seattle Orcas,"Church Street Park, Morrisville",Texas Super Kings,Seattle Orcas,127.0,120.0,20.0,128.0,96.0,16.0,1.6500000000000004,2023,neutral
10,2023-07-22,Washington Freedom,"Church Street Park, Morrisville",Washington Freedom,San Francisco Unicorns,133.0,120.0,20.0,103.0,119.0,19.5,1.5,2023,neutral
12,2023-07-23,MI New York,"Church Street Park, Morrisville",Washington Freedom,MI New York,160.0,120.0,20.0,161.0,93.0,15.3,2.522875816993464,2023,neutral
11,2023-07-23,Los Angeles Knight Riders,"Church Street Park, Morrisville",Seattle Orcas,Los Angeles Knight Riders,170.0,120.0,20.0,175.0,115.0,19.1,0.6623036649214651,2023,neutral
13,2023-07-24,Texas Super Kings,"Church Street Park, Morrisville",San Francisco Unicorns,Texas Super Kings,171.0,120.0,20.0,172.0,115.0,19.1,0.4552356020942394,2023,neutral
